manager,nationality,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,club
Jesse Marsch,United States,28/02/2022,06/02/2023,0,0,343,,,,Leeds
Gus Poyet,Uruguay,08/10/2013,16/03/2015,0,0,524,,,,Sunderland
Alan Curtis,Wales,27/12/2016,03/01/2017,0,1,7,,,,Swansea
Alan Curtis,Wales,09/12/2015,18/01/2016,0,1,40,,,,Swansea
Chris Coleman,Wales,17/04/2003,11/04/2007,0,0,1455,,,,Fulham
Eddie Niedzwiecki,Wales,08/01/2018,15/01/2018,0,1,7,,,,Stoke
Mark Bowen,Wales,23/11/2012,24/11/2012,0,1,1,,,,QPR
Mark Hughes,Wales,14/03/2018,03/12/2018,0,0,264,,,,Southampton
Mark Hughes,Wales,15/09/2004,03/06/2008,0,0,1357,,,,Blackburn
Mark Hughes,Wales,10/01/2012,23/11/2012,0,0,318,,,,QPR
Mark Hughes,Wales,29/07/2010,01/06/2011,0,0,307,,,,Fulham
Mark Hughes,Wales,04/06/2008,19/12/2009,0,0,563,,,,Man City
Mark Hughes,Wales,30/05/2013,06/01/2018,0,0,1682,,,,Stoke
Nathan Jones,Wales,10/11/2022,12/02/2023,0,0,94,,,,Southampton
Rob Edwards,Wales,17/11/2022,09/01/2025,0,0,784,,,,Luton
Rob Edwards,Wales,12/11/2025,11/06/2026,0,0,211,,,,Wolves
Ryan Giggs,Wales,22/04/2014,11/05/2014,0,1,19,,,,Man United
Steve Cooper,Wales,21/09/2021,19/12/2023,0,0,819,,,,Nott'm Forest
Steve Cooper,Wales,20/06/2024,24/11/2024,0,0,157,,,,Leicester
Tony Pulis,Wales,01/01/2015,20/11/2017,0,0,1054,,,,West Brom
Tony Pulis,Wales,23/11/2013,14/08/2014,0,0,264,,,,Crystal Palace
Tony Pulis,Wales,15/06/2006,21/05/2013,0,0,2532,,,,Stoke
