manager,nationality,club,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,departure_timing,departure_reason_auto,sacked_flag_auto
Kenny Dalglish,Scotland,Liverpool,08/01/2011,16/05/2012,0,0,494,,,,end_of_season,end_of_season,0
Paul Lambert,Scotland,Stoke City,15/01/2018,18/05/2018,0,0,123,,,,end_of_season,end_of_season,0
David Moyes,Scotland,Everton,15/03/2002,01/06/2013,0,0,4096,,,,end_of_season,end_of_season,0
Alex McLeish,Scotland,Birmingham City,28/11/2007,12/06/2011,0,0,1496,,,,end_of_season,end_of_season,0
Paul Lambert,Scotland,Norwich City,18/08/2009,02/06/2012,0,0,1019,,,,end_of_season,end_of_season,0
David Moyes,Scotland,West Ham United,07/11/2017,16/05/2018,0,0,190,,,,end_of_season,end_of_season,0
Julen Lopetegui,Spain,Wolverhampton Wanderers,14/11/2022,08/08/2023,0,0,267,,,,end_of_season,end_of_season,0
Rafael Benítez,Spain,Newcastle United,11/03/2016,30/06/2019,0,0,1206,,,,end_of_season,end_of_season,0
Rafael Benítez,Spain,Liverpool,16/06/2004,03/06/2010,0,0,2178,,,,end_of_season,end_of_season,0
Pepe Mel,Spain,West Bromwich Albion,09/01/2014,12/05/2014,0,0,123,,,,end_of_season,end_of_season,0
Roberto Martínez,Spain,Wigan Athletic,15/06/2009,28/05/2013,0,0,1443,,,,end_of_season,end_of_season,0
Sven-Göran Eriksson,Sweden,Manchester City,06/07/2007,02/06/2008,0,0,332,,,,end_of_season,end_of_season,0
Tony Pulis,Wales,Stoke City,15/06/2006,21/05/2013,0,0,2532,,,,end_of_season,end_of_season,0
Rob Edwards,Wales,Wolverhampton Wanderers,12/11/2025,11/06/2026,0,0,211,,,,end_of_season,end_of_season,0
Mark Hughes,Wales,Fulham,29/07/2010,01/06/2011,0,0,307,,,,end_of_season,end_of_season,0
Mark Hughes,Wales,Blackburn Rovers,15/09/2004,03/06/2008,0,0,1357,,,,end_of_season,end_of_season,0
Tony Pulis,Wales,Crystal Palace,23/11/2013,14/08/2014,0,0,264,,,,end_of_season,end_of_season,0
Brian Kidd,England,Manchester City,13/05/2013,14/06/2013,0,1,32,,,,end_of_season,end_of_season,0
Kevin Ball,England,Sunderland,07/03/2006,31/05/2006,0,1,85,,,,end_of_season,end_of_season,0
David Unsworth,England,Everton,12/05/2016,14/06/2016,0,1,33,,,,end_of_season,end_of_season,0
Ryan Mason,England,Tottenham Hotspur,19/04/2021,30/06/2021,0,1,72,,,,end_of_season,end_of_season,0
Hayden Mullins,England,Watford,19/07/2020,15/08/2020,0,1,27,,,,end_of_season,end_of_season,0
Ray Lewington,England,Fulham,01/07/2010,29/07/2010,0,1,28,,,,end_of_season,end_of_season,0
Calum McFarlane,England,Chelsea,22/04/2026,30/06/2026,0,1,69,,,,end_of_season,end_of_season,0
Kevin Keen,England,West Ham United,15/05/2011,01/06/2011,0,1,17,,,,end_of_season,end_of_season,0
Paul Heckingbottom,England,Sheffield United,13/03/2021,27/05/2021,0,1,75,,,,end_of_season,end_of_season,0
Nigel Pearson,England,Newcastle United,06/05/2007,15/05/2007,0,1,9,,,,end_of_season,end_of_season,0
Steve Agnew,England,Middlesbrough,16/03/2017,09/06/2017,0,1,85,,,,end_of_season,end_of_season,0
Guus Hiddink,Netherlands,Chelsea,16/02/2009,31/05/2009,0,1,104,,,,end_of_season,end_of_season,0
Eric Black,Scotland,Aston Villa,29/03/2016,02/06/2016,0,1,65,,,,end_of_season,end_of_season,0
Rafael Benítez,Spain,Chelsea,21/11/2012,27/05/2013,0,1,187,,,,end_of_season,end_of_season,0
