season,team,actual_finish_this_season,prior_season_position,expectation_baseline,source
1112,Aston Villa,16,9,9,prior_finish
1112,QPR,17,,17,promoted_assumed
1112,Bolton,18,12,12,prior_finish
1112,Blackburn,19,15,15,prior_finish
1112,Wolves,20,17,17,prior_finish
1213,Man United,1,1,1,prior_finish
1213,Man City,2,1,1,prior_finish
1213,Chelsea,3,6,6,prior_finish
1213,Arsenal,4,3,3,prior_finish
1213,Tottenham,5,4,4,prior_finish
1213,Everton,6,7,7,prior_finish
1213,Liverpool,7,8,8,prior_finish
1213,West Brom,8,10,10,prior_finish
1213,Swansea,9,10,10,prior_finish
1213,West Ham,9,,17,promoted_assumed
1213,Norwich,11,10,10,prior_finish
1213,Fulham,12,8,8,prior_finish
1213,Stoke,13,13,13,prior_finish
1213,Aston Villa,14,16,16,prior_finish
1213,Newcastle,14,5,5,prior_finish
1213,Southampton,14,,17,promoted_assumed
1213,Sunderland,17,13,13,prior_finish
1213,Wigan,18,15,15,prior_finish
1213,Reading,19,,17,promoted_assumed
1213,QPR,20,17,17,prior_finish
1314,Man City,1,2,2,prior_finish
1314,Liverpool,2,7,7,prior_finish
1314,Chelsea,3,3,3,prior_finish
1314,Arsenal,4,4,4,prior_finish
1314,Everton,5,6,6,prior_finish
1314,Tottenham,6,5,5,prior_finish
1314,Man United,7,1,1,prior_finish
1314,Southampton,8,14,14,prior_finish
1314,Stoke,9,13,13,prior_finish
1314,Newcastle,10,14,14,prior_finish
1314,Crystal Palace,11,,17,promoted_assumed
1314,Swansea,12,9,9,prior_finish
1314,West Ham,13,9,9,prior_finish
1314,Aston Villa,14,14,14,prior_finish
1314,Sunderland,14,17,17,prior_finish
1314,Hull,16,,17,promoted_assumed
1314,West Brom,17,8,8,prior_finish
1314,Norwich,18,11,11,prior_finish
1314,Fulham,19,12,12,prior_finish
1314,Cardiff,20,,17,promoted_assumed
1415,Chelsea,1,3,3,prior_finish
1415,Man City,2,1,1,prior_finish
1415,Arsenal,3,4,4,prior_finish
1415,Man United,4,7,7,prior_finish
1415,Tottenham,5,6,6,prior_finish
1415,Liverpool,6,2,2,prior_finish
1415,Southampton,7,8,8,prior_finish
1415,Swansea,8,12,12,prior_finish
1415,Stoke,9,9,9,prior_finish
1415,Crystal Palace,10,11,11,prior_finish
1415,Everton,11,5,5,prior_finish
1415,West Ham,11,13,13,prior_finish
1415,West Brom,13,17,17,prior_finish
1415,Leicester,14,,17,promoted_assumed
1415,Newcastle,15,10,10,prior_finish
1415,Aston Villa,16,14,14,prior_finish
1415,Sunderland,16,14,14,prior_finish
1415,Hull,18,16,16,prior_finish
1415,Burnley,19,,17,promoted_assumed
1415,QPR,20,,17,promoted_assumed
1516,Leicester,1,14,14,prior_finish
1516,Arsenal,2,3,3,prior_finish
1516,Tottenham,3,5,5,prior_finish
1516,Man City,4,2,2,prior_finish
1516,Man United,4,4,4,prior_finish
1516,Southampton,6,7,7,prior_finish
1516,West Ham,7,11,11,prior_finish
1516,Liverpool,8,6,6,prior_finish
1516,Stoke,9,9,9,prior_finish
1516,Chelsea,10,1,1,prior_finish
1516,Everton,11,11,11,prior_finish
1516,Swansea,11,8,8,prior_finish
1516,Watford,13,,17,promoted_assumed
1516,West Brom,14,13,13,prior_finish
1516,Crystal Palace,15,10,10,prior_finish
1516,Bournemouth,15,,17,promoted_assumed
1516,Sunderland,17,16,16,prior_finish
1516,Newcastle,18,15,15,prior_finish
